"publication_version_id","publication_id","doi","title","abstract","description","Tags","Authors"
"899","1879","10.4231/R7NS0RSW","Purdue University Buildings Demolition, Construction Images, April 2015, MATH Building Camera","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","<p>[[Video(http://www.youtube.com/watch?v=LUscY9742VI)]]</p>

<p>Purdue&#39;s campus landscape continues to change with the construction of new buildings and the remodel of old buildings. In 2012 the Engineering Administration Building (ENAD) and the iconic Heat and Power Plant-North (HPN) were targeted for demolition to make way for the construction of the Active Learning Center (ALC); a building with offices, collaborative spaces and classrooms with an emphasis on new instructional models. The Purdue University Lyles School of Civil Engineering capitalized on a key opportunity for education and research. Five cameras were installed to capture images from the demolition of the Engineering Administration Building and the Power Plant, to the construction of the Active Learning Center. The images from 3 fixed cameras situated on the Mathematical Sciences Building (MATH) and the Potter (A. A.) Engineering Center (POTR) can be accessed and used for educational and research purposes.<br />
Representative time lapse videos were created from these three cameras for each month of the project. The time lapse videos created from these images - 08:00 to 18:00, 7 days a week in each month - are accessible here: http://dx.doi.org/10.4231/R70P0WXD.</p>

<p>&nbsp;</p>","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša"
"900","1880","10.4231/R7DB7ZRX","Purdue University Buildings Demolition, Construction Images, April 2015, POTR Building Camera 1","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","<p>[[Video(http://www.youtube.com/watch?v=Ybwa_BUFxEI)]]</p>

<p>Purdue&#39;s campus landscape continues to change with the construction of new buildings and the remodel of old buildings. In 2012 the Engineering Administration Building (ENAD) and the iconic Heat and Power Plant-North (HPN) were targeted for demolition to make way for the construction of the Active Learning Center (ALC); a building with offices, collaborative spaces and classrooms with an emphasis on new instructional models. The Purdue University Lyles School of Civil Engineering capitalized on a key opportunity for education and research. Five cameras were installed to capture images from the demolition of the Engineering Administration Building and the Power Plant, to the construction of the Active Learning Center. The images from 3 fixed cameras situated on the Mathematical Sciences Building (MATH) and the Potter (A. A.) Engineering Center (POTR) can be accessed and used for educational and research purposes.</p>

<p>Representative time lapse videos were created from these three cameras for each month of the project. The time lapse videos created from these images - 08:00 to 18:00, 7 days a week in each month - are accessible here: <a href=""http://dx.doi.org/10.4231/R70P0WXD"">http://dx.doi.org/10.4231/R70P0WXD</a>.</p>","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša"
"901","1881","10.4231/R7J1013Q","Purdue University Buildings Demolition, Construction Images, April 2015, POTR Building Camera 2","Two iconic buildings on the Purdue University campus, the Engineering Administration Building and the retired Heating and Power Plant-North, were targeted for demolition in 2012 to make way for the construction of the Active Learning Center.","<p>[[Video(http://www.youtube.com/watch?v=7t9ZfWdsd5k)]]</p>

<p>Purdue&#39;s campus landscape continues to change with the construction of new buildings and the remodel of old buildings. In 2012 the Engineering Administration Building (ENAD) and the iconic Heat and Power Plant-North (HPN) were targeted for demolition to make way for the construction of the Active Learning Center (ALC); a building with offices, collaborative spaces and classrooms with an emphasis on new instructional models. The Purdue University Lyles School of Civil Engineering capitalized on a key opportunity for education and research. Five cameras were installed to capture images from the demolition of the Engineering Administration Building and the Power Plant, to the construction of the Active Learning Center. The images from 3 fixed cameras situated on the Mathematical Sciences Building (MATH) and the Potter (A. A.) Engineering Center (POTR) can be accessed and used for educational and research purposes.</p>

<p>Representative time lapse videos were created from these three cameras for each month of the project. The time lapse videos created from these images - 08:00 to 18:00, 7 days a week in each month - are accessible here: <a href=""http://dx.doi.org/10.4231/R70P0WXD"">http://dx.doi.org/10.4231/R70P0WXD</a>.</p>","active learning center, building construction management, building demolition, civil engineering, construction engineering and management, enadalc, enad demolition, engineering administration building, heat and power plant-north, purdue university","Darcy M. Bullock, Alexander M. Hainen, Andrew Sydelko, David Burford, Michael Witt, Stanislav Pejša"
"902","1882","10.4231/R72V2D12","Longitudinal password data set varying with policy","The data set included the participants' identification number (USER ID), the participants' assigned password policy identification number (POLICY ID), and seven iterations of passwords (PASSWORD 1-7).","<p><strong>Purpose:</strong>&nbsp; This data set can be used to investigate the effect of password policies on real-world passwords created by users under a variety of policies over time.</p>

<p><strong>Data set primary file(s):</strong></p>

<ul>
	<li>INSURE_Password_strength_analysis_Dataset_Dark.csv</li>
</ul>

<p><strong>Year data were collected:</strong></p>

<p>The data were collected in 2015.</p>

<p><strong>Data set description:</strong></p>

<p>The data were collected as part of a password coping mechanism study. There were a total of 2434 passwords collected over seven iterations across three policies (Curnett, 2015).</p>

<p>The password policies included:</p>

<ul>
	<li>Comprehensive 8 (C8):&nbsp; The password must be at least 8 characters long and contain at least 1 capital letter, 1 special character, and 1 number. 806 passwords were collected with this policy (Kelley et al., 2012).</li>
	<li>Blacklist Hard (BH):&nbsp; The password must be at least 8 characters long and not be a word used in a 70000 word dictionary of commonly used words in the English language. 831 passwords were collected with this policy (Kelley et al., 2012).</li>
	<li>Basic 16 (B16):&nbsp; The password must be at least 16 characters long. 797 passwords were collected with this policy (Kelley et al., 2012).</li>
</ul>

<p>Summary statistics of passwords collected by iteration (I1-7) (Curnett, 2015):</p>

<p>I1 - 1030; I2 - 496; I3 - 312; I4 - 250; I5 - 140; I6 - 116; I7 - 92.</p>

<p>Summary statistics of passwords collected by policy (C8, BH, and B16) and iteration (I1-7) (Curnett, 2015):</p>

<ul>
	<li>C8I1 - 335; C8I2 - 164; C813 - 107; C8I4 - 85; C8I5 - 47; C8I6 - 38; C8I7 - 30.</li>
	<li>BHI1 - 343; BHI2 - 171; BHI3 - 107; BHI4 - 87; BHI5 - 49; BHI6 - 44; BHI7 - 30.</li>
	<li>B16I1 - 350; B16I2 - 161; B16I3 - 98; B16I4 - 78; B16I5 - 44; B16I5 - 34; B16I6 - 34; B16I7 - 32.</li>
</ul>

<p><strong>Data set supporting material(s):</strong></p>

<p>The supporting materials included a definition list (INSURE_Definition_list_Supporting_materials_Dark.docx), a list of password policies and description (INSURE_Password_policies_Supporting_materials_Dark.docx), and specifications on the primary data set (INSURE_Specifications_Supporting_materials_Dark.xlsx).</p>

<p><strong>References:</strong></p>

<p>Curnett, B. (2015). Password Strength Analysis: User Coping Mechanisms in Password Selection. Purdue University.</p>

<p>Kelley, P., Komanduri, S., Mazurek, M., Shay, R., Vidas, T., Bauer, L., Christin, N., Cranor, L., &amp; Lopez, J. (2012). Guess Again (and again and again): Measuring password strength by simulating password-cracking algorithms. IEEE Symposium on Security and Privacy (pp. 523-537). IEEE.</p>","computer science, longitudinal  study, password analysis, password policies, passwords, real-world passwords","Brian Curnett, Melissa J. Dark, Christopher Foreman, Jeffrey Karpicke, Robert Proctor, Lauren Marie Stuart"
"903","1883","10.4231/R76H4FCH","Purdue Agronomy Farm Corn Hybrid (811801)","Purdue Agronomy Farm Corn Hybrid test","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, corn, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil science, solar illumination, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
"904","1884","10.4231/R7T72FD1","Iowa Intensive Test Site 0893 (811237)","The objective of this experiment was to provide a data set which can be used as an intermediate level of extrapolation between data collected from controlled experimental plots at field research stations and data collection by satellite scanners.","<p>The objective of this experiment was to provide a data set which can be used as an intermediate level of extrapolation between data collected from controlled experimental plots at field research stations and data collection by satellite scanners. The purpose of the experiment is to study the spectral characteristics and separability of corn, soybeans, and pasture as a function of growth stage and cultural practices. The intensive test site represents a 5 by 6 mile area over commercial fields. The major crops in this intensive test site are corn and soybeans.</p>

<p>&nbsp;The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, corn, crops, crop science, fss, grass, lars, remote sensing, soil, soil science, solar illumination, soybeans, spectral observations, spectrometer","Marvin E. Bauer, Stanislav Pejša"
"905","1885","10.4231/R7PG1PP9","North Dakota Intensive Test Site 0817 (811247)","The objective of this experiment was to provide a data set which can be used as an intermediate level of extrapolation between data collected from controlled experimental plots at field research stations and data collection by satellite scanners","<p>The objective of this experiment was to provide a data set which can be used as an intermediate level of extrapolation between data collected from controlled experimental plots at field research stations and data collection by satellite scanners. The purpose of the experiment is to study the spectral characteristics and separability of barley, corn, duram wheat, oats, soybeans, spring wheat, sugar beats and sunflower as a function of growth stage and cultural practices. The intensive test site represents a 5 by 6 mile area over commercial fields. This the first year for an experiment at this site.</p>

<p>Data were collected by a helicopter mounted Field Spectrometer System (FSS). The FSS system is based on a S191-H spectroradiometer. Data were collected for 6 lines running E-W across the test site. The FSS spectral data consists of .02 um wide bands from 0.4 to 1.1 um, .05 um wide bands from 1.1 to 2.4 um. The spectral data collected over the site are processed into two different formats. One format represents all individual observations collected over each field (termed single scan data) and the other format represents the average of all similar scans within each field (field averaged data).</p>

<p>The FSS data includes:</p>

<ul>
	<li>Bidirectional reflectance factor data</li>
	<li>70-millimeter boresight color photographs</li>
	<li>Flight logs</li>
	<li>upporting agronomic, meteorological and atmospheric observations.</li>
</ul>

<p>The test took place in 1981.</p>

<p>supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barley, corn, crops, crop science, durum wheat, fss, lars, oats, remote sensing, soil science, solar illumination, soybeans, spectral observations, spring wheat, sugar beets, sunflower","Marvin E. Bauer, Stanislav Pejša"
"906","1886","10.4231/R7JQ0XZK","Purdue Agronomy Farm Corn Hybrid ( 811801)","Spectral observation of the Farm Corn Hybrid","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, corn, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil science, solar illumination, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
"907","1887","10.4231/R7DZ0683","Purdue Agronomy Farm Corn Cultural Practices (811803)","The objectives of this experiment are to determine the threshold of early season spectral detection of corn and the spectral response of corn as a function of growth and amount of vegetation.","<p>The objectives of this experiment are to determine (1) the threshold of early season spectral detection of corn, (2) the spectral response of corn as a function of growth and amount of vegetation, and (3) the effect of soil background differences, particularly soil color, on the spectral response and early detection of corn.</p>

<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barnes 12-1000, corn, crops, crop science, exotech 100, lars, radiometer, soil, soil science, solar illumination","Craig S. T. Daughtry, Stanislav Pejša"
"908","1888","10.4231/R79884ZF","Purdue Agronomy Farm Soybean Cultural Practices (811804)","Spectral observations of the farm soybean cultural practices","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barnes 12-1000, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil, soil science, solar illumination, soybeans, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
"909","1889","10.4231/R75H7D74","Purdue Agronomy Farm Winter Wheat Disease (811805)","The purpose of this experiment was to investigate the effects of disease (rust) on the spectral response of winter wheat.","<p>The purpose of this experiment was to investigate the effects of disease (rust) on the spectral response of winter wheat.</p>

<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, crops, crop science, exotech 20c-sw, lars, remote sensing, soil science, solar illumination, spectral observations, spectrometer, winter wheat","Craig S. T. Daughtry, Stanislav Pejša"
"910","1890","10.4231/R71R6NGZ","Purdue Agronomy Farm Soybean Varieties (811806)","Spectral observations of farm soybean varieties","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barnes 12-1000, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil science, solar illumination, soybeans, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
"911","1891","10.4231/R7X0650C","Purdue Agronomy Farm Sunflower Cultural Practices (811807)","Spectral observations of the farm sunflower cultural practices","<p>Spectral observations of the farm sunflower cultural practices.</p>

<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barnes 12-1000, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil science, solar illumination, spectral observations, sunflower","Craig S. T. Daughtry, Stanislav Pejša"
"912","1892","10.4231/R7S75D8N","Purdue Agronomy Farm Sorghum Cultural Practices (811808)","Spectral observations of the farm sorghum cultural practices at Purdue.","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barnes 12-1000, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil science, solar illumination, sorghum, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
"913","1893","10.4231/R7NG4NJX","Purdue Agronomy Farm Soybean Row Direction (811810)","Spectral observation","<p>The overall objective of this experiment was to determine and model the effects of rows and row direction (shadowing) on the reflectance of soybean, sorghum and wheat canopies as a function of solar azimuth and zenith angles. A secondary objective was to determine how reflectance may vary with changes in percent soil cover and soil background conditions. Different row directions were used to introduce varying amounts of shadow in the composite of foliage, soil and shadow viewed by a sensor.</p>

<p>An apparatus was built for this experiment, to allow a four meter diameter pseudo plot to be rotated beneath a Landsat band radiometer mounted 8.8 meters above the &quot;plot&quot;. The pseudo plot consisted of several .3 x .3 x .6 meter boxes of soybeans aligned in rows. The backgrounds were trays of Russell soils or boards painted with 3M flat black and 3M flat white to allow for a wide range in reflectance backgrounds. The pseudo plot is easily rotated to obtain any desired row direction.</p>

<p>Data were obtained for three soil covers, three backgrounds, and 72 row directions for several solar zenith-azimuth ranges. Data were collected on three different days.</p>

<p>This experiment is closely related to experiment 801810.</p>

<p>LARSPEC Identification Record Codes:</p>

<p>1. Plot Number<br />
See the plot_number_811810.txt file under the Supporting docs tab</p>

<p>2. Experimenter Parameter 02 (additional information)<br />
Experimenter parameter 02 is a unique observation code for each scene (soil, 3M flat black, soybean/soil background, etc.) and row direction.<br />
See the parameter2_811810.txt file under the Supporting docs tab.</p>

<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","3m flat black, 3m flat white, agriculture, barnes 12-1000, crops, crop science, lars, radiometer, remote sensing, soil, soil science, solar illumination, sorghum, soybeans, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
"914","1894","10.4231/R7HQ3WVN","Pierre Adrien Soils Study ( 811900 and 811901)","Spectral observations of Pierre Adrien","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, crop science, exotech 20c-sw, ge-dxw lamp illumination, lars, remote sensing, soils, soil science, spectral observations, spectrometer","Pierre-Marie Adrien, Stanislav Pejša"
"915","1895","10.4231/R7D21VJZ","Alfalfa Transmittance Study (816100)","Spectral observations","<p>The test took place in 1981.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, alfalfa, crops, crop science, exotech 20c-sw, ge-dxw lamp illumination, lars, soil science, spectral observations, spectrometer","Barrett F. Robinson, Stanislav Pejša"
"917","1897","10.4231/R78913TM","Purdue Agronomy Corn Sun-View Angle (821802)","The purpose of this experiment is to characterize a corn field by its reflectance at various view and illumination angles and by its physical and agronomic attributes.","<p>The test took place in 1982.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>

<p>&nbsp;</p>","agriculture, barnes 12-1000, corn, crops, crop science, lars, radiometer, remote sensing, soil science, solar illumination, spectral observations","K. Jon Ranson, Stanislav Pejša"
"919","1899","10.4231/R74J0C2V","Purdue Agronomy Farm Corn Cultural Practices (821803)","The objectives of this experiment are to determine (1) the threshold of early season spectral detection of corn, (2) the spectral response of corn as a function of growth and amount of vegetation, and (3) the effect of soil background differences.","<p>The objectives of this experiment are to determine (1) the threshold of early season spectral detection of corn, (2) the spectral response of corn as a function of growth and amount of vegetation, and (3) the effect of soil background differences.</p>

<p>The test took place in 1982.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>","agriculture, barnes 12-1000, corn, crops, crop science, exotech 100, lars, radiometer, soil, soil science, solar illumination","Craig S. T. Daughtry, Stanislav Pejša"
"920","1900","10.4231/R70R9MBK","Purdue Agronomy Farm Soybean Cultural Practices ( 821804)","Spectral observations of the farm soybean cultural practices","<p>The test took place in 1982.</p>

<p>The supporting docs include a brief summary of used instruments, a wavelength table (Wavelength_ASCII.txt), reflectance note and reflectance tables (ReflectanceTable206.txt and ReflectanceTableMulti.txt), and file format description (ExperimentDataFormat3.txt). The format description file is in ASCII format in lines of 80 characters.</p>

<p>This research dataset is part the Field Research Data Library that consists of over 200,000 spectral observations of soils and vegetation that have been collected since 1972 till 1991 as part of the research focused on vegetation and soils at the Laboratory for Applications of Remote Sensing (LARS) located at the Purdue University.</p>","agriculture, barnes 12-1000, crops, crop science, exotech 100, lars, radiometer, remote sensing, soil, soil science, solar illumination, soybeans, spectral observations","Craig S. T. Daughtry, Stanislav Pejša"
